20,19,20,2710,1160
0,0,20,1878,1171
20,0,20,2710,1162
5,0,20,2089,1168
5,0,17,2073,1108
5,5,20,2090,1168
5,17,17,2072,1108
10,0,20,2299,1167
10,10,20,2299,1167
10,1,10,2223,991
10,15,10,2223,991
20,1,1,2502,865
20,1,4,2530,904
20,10,4,2530,904
6,6,0,2038,659
6,6,4,2046,902
10,18,0,2209,238
12,18,0,2283,238
20,18,0,2574,244
20,18,3,2521,890
20,18,5,2539,917
10,2,0,2167,789
2,2,0,1894,787
2,2,20,1962,1169
2,2,2,1899,874
6,0,7,2060,943
6,15,7,2060,943
6,3,7,2060,2060
20,3,1,2502,865
5,5,5,2090,1170
