20,19,20,3060,1809
0,0,20,2125,1818
20,0,20,2125,1818
5,0,20,2364,1818
5,0,17,2335,1769
5,5,20,2364,1818
5,17,17,2335,1769
10,0,20,2599,1816
10,10,20,2599,1816
10,1,10,2399,1592
10,15,10,2399,1592
20,1,1,2760,1590
20,1,4,2798,1618
20,10,4,2798,1618
6,6,0,2249,1363
6,6,4,2273,1616
10,18,0,2402,924
12,18,0,2476,924
20,18,0,2767,928
20,18,3,2785,1608
20,18,5,2811,1628
10,2,0,2391,1508
2,2,0,2101,1510
2,2,20,2221,1819
2,2,2,2110,1597
6,0,7,2294,1647
6,15,7,2294,1647
6,3,7,2294,1647
20,3,1,2758,1590
5,5,5,2241,1626
